	GSM954790	GSM954791	GSM954792	GSM954793	GSM954794	GSM954795	GSM954796	GSM954797	GSM954798	GSM954799	GSM954800	GSM954801	GSM954802	GSM954803	GSM954804	GSM954805	GSM954806	GSM954807	GSM954808	GSM954809	GSM954810	GSM954811	GSM954812	GSM954813	GSM954814	GSM954815	GSM954816	GSM954817	GSM954818	GSM954819	GSM954820	GSM954821	GSM954822	GSM954823	GSM954824	GSM954825	GSM954826	GSM530667	GSM530899	GSM531283	GSM531284	GSM531285	GSM531286	GSM531287	GSM531288	GSM531289	GSM531290	GSM531291	GSM531292	GSM531293	GSM531294	GSM531295	GSM531296	GSM531297	GSM531298	GSM531299	GSM531300	GSM531301	GSM531302	GSM531303	GSM531304	GSM531305	GSM531306	GSM531307	GSM531308	GSM531309	GSM531310	GSM531311	GSM531312	GSM531313	GSM531314	GSM531319	GSM531320	GSM531321	GSM531322	GSM531323	GSM531324	GSM531325	GSM531326	GSM531327	GSM531328	GSM531329	GSM531330	GSM531331	GSM531332	GSM531333	GSM531334	GSM531335	GSM531351	GSM531352
Eosinophil	0.721028731	0.638263737	0.497936123	1	1	0.454607434	0.918028317	0.585032299	0.547590179	0.730734563	0.947040906	0.521803574	0.817917054	0.815165205	0.796922369	0.664150077	0.925596491	0.685939533	0.906023139	0.814278203	0.065241918	0.713210465	0.767989648	0.676134258	0.741379018	0.875051029	0.869707973	0.743787964	0.762231099	0.543844775	0.366348803	0.621582903	0.597315633	0.632294057	0.681119764	0.603951274	1	0.36229841	0.187368141	0.370626302	0.251255671	0.168646772	0.200068641	0.419156393	0.471044756	0.207175411	0.38645165	0.456667364	0.333087773	0.34922336	0.304283234	0.170165673	0.354460617	0.288685663	0.441274971	0.210513255	0.446024492	0.302858728	0.368281307	0.359603587	0.334227433	0.358243108	0.394508088	0.395844837	0.468558823	0.469938531	0.444932271	0.327033299	0.167819672	0.301218218	0.404996076	0.362607839	0.35927089	0.492970247	0.301017978	0.25608861	0.2727691	0.259261543	0.397944394	0.228879378	0.592915627	0.237064278	0.21438218	0.345027868	0.467753277	0.307843664	0.373417191	0.369638892	0.396924504	0.404377324
Gamma delta T cell	0.379966773	0.616325993	0.343260752	0.207736232	0.216455553	0.338109402	0	0.008734285	0.337776734	0.232144072	0	0.260385514	0.228777964	0.358551763	0.405258843	0.33678924	0.230950845	0.479290866	0.048380598	0	0.291234377	0.328845296	0.089668595	0.284558908	0	0.169538844	0.46622551	0.493854291	0.384282354	0.487472473	0.304061459	0.053000813	0.422223696	0.569160928	0.437152852	0.45993855	0.018362633	0.716820596	0.680317041	0.642863037	0.579969638	0.708051033	0.392028508	0.562217434	0.555383063	0.630604721	0.598114132	0.6947246	0.712254877	0.732194444	0.736721285	0.698855014	0.796756793	0.656186114	0.338406989	0.566204885	0.539589407	0.607965871	0.617521289	0.754326923	0.59835343	0.615711109	0.662353617	0.818522544	0.647418643	0.697820466	0.646424266	0.725069851	0.625359229	0.699581056	0.59505443	0.753595831	0.657266124	0.959280446	0.72256219	0.644339147	0.629052401	0.608865804	0.749186635	0.704830508	0.773833932	0.59717032	0.736812368	0.587594413	0.707812117	0.748778304	0.578251082	0.721385645	0.860970115	0.675589305
Immature  B cell	1	0.235281551	0.526611743	1	0.401459884	0.263163026	0.848159038	0.708698804	0	0.439454323	1	0.461112095	0.31892762	0.407747111	0.292200264	0.741723158	0.641530087	0.481315476	0.582221624	0.290070542	0	0.4101304	0.917332713	0.202878601	0.854991448	0.279363585	0.278839782	0.522928655	0.529059985	0.652578216	0.066887323	0.357863488	0.124963685	0.367708966	0.641274523	0.473502815	1	0.402625027	0.259164517	0.053661096	0.405593016	0.301874795	0.319857482	0.544791015	0.625228639	0.272121943	0.041926236	0.567628682	0.56425684	0.519720616	0.384976638	0.205440795	0.462616555	0.408166256	0.128959428	0.304692166	0.296693929	0.400304096	0.665616582	0.788149115	0.640565302	0.774443701	0.602538534	0.722429682	0.495719556	0.788377698	0.658645503	0.373755409	0.405576321	0.957894138	0.547289878	0.604234472	0.703989192	0.901019588	0.599394346	0.612669329	0.602616247	0.296609024	0.626395088	0.29906747	0.720310479	0.038466255	0.586659694	0.489423878	0.511919014	0.680700249	0.572303841	0.848190834	0.656620278	0.379132679
Immature dendritic cell	0.242284298	0.40931197	0.581566187	0	0.519479894	0.229782914	0.012383731	0.434485587	0.661396548	0.330522921	0	0.579408338	0.002577001	0.137249556	0.297560822	0.643731368	0.074833453	0.59559425	0.12413498	0.205578124	0.317578369	0.164147225	0.087617574	0.370047249	0.307517229	0.023653506	0	0.56068836	0.200074973	0.427818842	0.339762916	0	0.532592288	0.480000103	0.540570615	0.8403525	0.478460267	0.672715959	0.45203985	0.579532303	0.619179982	0.721136181	0.374007712	0.573492997	0.400207555	0.599531592	0.530252015	0.742946799	0.616026771	0.618247331	0.807802557	0.509599536	0.896795179	0.657365535	0.365811491	0.37495207	0.605937348	0.507924556	0.468857058	0.829578441	0.548161979	0.69671735	0.620535131	0.721955525	0.819998931	0.687693155	0.689404374	0.654659916	0.452561298	0.610962479	0.633522406	0.712423599	0.837816808	0.878770987	0.735066982	0.659943708	0.582194051	0.399172316	0.792411058	0.582999949	0.861917183	0.537799692	0.81461711	0.55185199	0.548901669	0.649160104	0.484514563	0.748178303	0.888185941	0.677599906
Macrophage	0.277612406	0.269994022	0.448272884	0.314588962	0.46289536	0.313084803	0.198820822	0.107347791	0.15265507	0.099350094	0.432855102	0.38794697	0.120101302	0.220571977	0.23489447	0.543961162	0.617032587	0.470051342	0.157390296	0.070050891	0	0.124099653	0.328329519	0.333881012	0.7513832	0.14036486	0.414706587	0.429405016	0.297268824	0.218593536	0.250734656	0.052436962	0.317860509	0.544955366	0.542390444	0.551812641	0.366203974	0.770676265	0.446032961	0.321559362	0.597374504	0.5677978	0.259549085	0.622236047	0.633864767	0.450567781	0.298680863	0.553906729	0.715276341	0.538395687	0.429952096	0.434235832	0.678006714	0.61219859	0.264969056	0.522573861	0.657253124	0.587721603	0.821258894	0.963637532	0.851653941	1	0.552248157	0.744770871	0.689613173	0.957744141	0.735878435	0.756792623	0.482582456	0.762995801	0.633412252	0.508211334	0.782980976	1	0.637359446	0.775381978	0.661915352	0.499189784	0.60202354	0.306430412	0.719124737	0.192751502	0.92431142	0.612672441	0.774717944	0.885438682	0.577457137	0.754413979	0.684059274	0.634850503
Mast cell	0.565182542	0.700497209	0.53970192	0.898032374	0.794908783	0.632972216	0.64687108	0.887790889	0.649227989	0.264949829	0.539334168	0.593713186	0.988042461	0.780478755	0.968436517	0.729376894	0.877934132	0.800648311	0.777341197	0.846972423	0.19808839	0.31749607	0.565555857	0.656692631	0.857210644	0.879236343	0.673587614	0.447890779	0.291455852	0.541586688	0.781300123	0.755519538	0.616701648	0.737632259	0.651348747	0.917167546	0.22686745	0.344195879	0.178985696	0.047756293	0.019266574	0.098860823	0.121585784	0.34110386	0.66381124	0.066197646	0.222706644	0.429893125	0.318410747	0.33185524	0.260905869	0.422085485	0.390132289	0.272857065	0.102380497	0.298909628	0.253918953	0.409186963	0.536023005	0.509260314	0.561561804	0.81909265	0.318051636	0.680612748	0.404155432	0.915662126	0.577980044	0.361931741	0.186050887	0.318757761	0.619871243	0.089782578	0.350517468	0.682277392	0.197102511	0.342981865	0.371371556	0.39105971	0.472673921	0.164617791	0.82904856	0.290006841	0.520915352	0.544239773	0.74920951	0.402932718	0.406218465	0.598668535	0.352984598	0.241622115
MDSC	0.559878776	0.731354176	0.745720788	0.667915929	0.70467594	0.70333233	0.119368053	0.211551415	0.469282842	0.619626715	0.37937634	0.659157393	0.803251269	0.587592995	0.770588196	0.847001875	0.439136602	0.813392382	0.359591327	0.31571877	0.052200338	0.410622459	0.38961373	0.641844707	0.432627232	0.699656454	0.682923252	0.479534794	0.488103227	0.688302394	0.707952702	0.421555682	0.57177392	0.535196451	0.796715219	0.716252591	0.661926811	0.367658253	0.217068417	0	0.27806826	0.201142057	0.028542471	0.407214665	0.474975675	0.038641033	0	0.346200668	0.475531103	0.308703641	0.257001717	0.104624657	0.42908034	0.283788488	0	0.10157626	0.110218293	0.314445249	0.674560292	0.72922425	0.740297091	0.803040611	0.504606987	0.704731241	0.52000678	0.876269639	0.669357733	0.510591063	0.341211163	0.80041753	0.601964412	0.480849961	0.598004911	1	0.616795807	0.789591611	0.694814371	0.403613866	0.581627273	0.048997544	0.705796797	0.000802289	0.729074907	0.437186565	0.639081225	0.838459559	0.476174364	0.878317038	0.589334151	0.424754024
Memory B cell	0.128603603	0.196090744	0.121919186	0.597432751	0.820401446	0.235799195	0.418448174	1	0.110232272	0.875973995	0.947729224	0.341496407	0.170915219	0	0.58305204	0.012428794	0.57124437	0.129485035	0.233480076	0.322657773	0.395241895	0.660130757	0.472459616	0.337039393	0.718297627	0.240753249	0.421256499	0.172857623	0.454349009	0.498137224	0.34963301	0.085221121	0.060109474	0.191765544	0	0	0.149004607	0.666864688	0.513435365	0.476337305	0.614530458	0.341527894	0.522888324	0.831238614	0.638176266	0.664544256	0.334889541	0.529435846	0.635931487	0.603788886	0.550193204	0.631530739	0.697376907	0.752254571	0.185490969	0.692666325	0.405624443	0.408691944	0.554559044	0.604669878	0.605337679	0.39203147	0.487755629	0.940234273	0.761404543	0.608542133	0.482659657	0.744541743	0.538868327	0.665444356	0.759058065	0.837638671	0.838635444	0.798179807	0.574292076	0.720122017	0.575281623	0.526917592	0.54530118	0.49733637	0.845576995	0.537991843	0.617783578	0.64119072	0.474843206	0.650346743	0.628810527	0.740154146	0.816214148	0.39933994
Monocyte	0	0.26711923	0.258576024	0.646660336	0.500850383	0.264590288	0.021269349	0.437208128	0.354945879	0	0	0.623802217	0.214723256	0.155662507	0.382443225	0.346687743	0.600797763	0.512960163	0	0.097220244	0.463089445	0	0.232743375	0.328391544	0.250106852	0.257121127	0.144982726	0.312551095	0.43593885	0.382437981	0	0.082647519	0.571455521	0.177018594	0.541351695	0.412964094	0	0.703160259	0.646183076	0.621848443	0.574860903	0.612879695	0.532163023	0.683763036	0.620004271	0.660584893	0.580998807	0.635252187	0.722337839	0.726470094	0.696960736	0.540278179	0.697822601	0.650199866	0.771979656	0.582928438	0.613085554	0.710694786	0.777877587	0.756919682	0.681195542	0.742627839	0.723581626	0.682402737	0.723515072	0.702911853	0.687979666	0.655229722	0.632766486	0.703656221	0.571896995	0.668254235	0.672271109	0.767946959	0.727674388	0.612840372	0.642692959	0.549286806	0.708517311	0.623894904	0.693287084	0.618679392	0.624841696	0.662657551	0.655069219	0.699012751	0.604408975	0.721547338	0.766663397	0.609701419
Natural killer cell	0.795018907	0.357496907	0.396646441	0.399139363	0.678116332	0.564318057	0.842226525	0.825173899	0.043543415	0.27534221	0.818051693	0.566800634	0.299786643	0.552412996	0.862982645	0.622307207	1	0.372246827	0.253561632	0.321957251	0	0	0.726477225	0.37096109	1	0.395041619	0.526385935	0.553975166	0.924064001	0.412487691	0.451702579	0.060956061	0.334537024	0.825237943	0.410900883	0.562959997	0.534240965	0.660906853	0.554210481	0.33516302	0.563636783	0.352673117	0.250086234	0.59133444	0.433440188	0.472580938	0.185301969	0.556329394	0.6150144	0.434584171	0.438673695	0.358416732	0.664191297	0.619582831	0.194822164	0.207488708	0.174532866	0.308079918	0.549936032	0.505386932	0.499464587	0.701304125	0.391011842	0.787195329	0.293990057	0.616020115	0.5454598	0.365038811	0.504298014	0.605202528	0.490969528	0.591209411	0.379593376	1	0.566376466	0.424867686	0.63911572	0.380730412	0.572541568	0.400959111	0.759635335	0.143042654	0.574520562	0.240054911	0.492013278	0.723424412	0.409831992	0.766761218	0.595197253	0.384068021
